SSver,display,suffix,maxn,trial,d1obj1,d1obj2,d1obj3,d1obj4,d1obj5,d1obj6,d2obj1,d2obj2,d2obj3,d2obj4,d2obj5,d2obj6,cue,tarLoc,change,blanks,proc1,proc2
v01NO1,mainIntro,,,,,,,,,,,,,,,,,,,,a0INTNO.jpg,a0SCRNO.jpg
v01NO1,main,.jpg,96,1,10049816.thl,8079958.thl,AEMERGLI4,ASTAMPS,Aconnector2,Atool62,change,d1obj2,d1obj3,blanks,blanks,blanks,0,1,AWALKER11,blank,,
v01NO1,main,.jpg,96,2,10053213.thm,8080484.thl,AFAN20,ASTAR,Acoral7,Atoothbrush3,d1obj1,change,d1obj3,blanks,blanks,blanks,0,2,10050075.thl,blank,,
v01NO1,main,.jpg,96,3,22806086.thl,8081398.thl,AFBLADE,ASTEPPER,Acprmask2,Atoy21,d1obj1,d1obj2,change,blanks,blanks,blanks,0,3,26432109.thl,blank,,
v01NO1,main,.jpg,96,4,22822309.thl,8245563.thl,AFEATHE36,ASTONHOU2,Acrabwalking,Atoy33,blanks,blanks,blanks,change,d1obj5,d1obj6,0,4,ABABYPIN2,blank,,
v01NO1,main,.jpg,96,5,22824636.thl,8245818.thl,AFENCIN50,ASTOOL,Acreamer35,Atoy63,blanks,blanks,blanks,d1obj4,change,d1obj6,0,5,26421575.thl,blank,,
v01NO1,main,.jpg,96,6,22824840.thl,8248852.thl,AFERRY5,ASTRAINE8,Acucumber2,Atoyairplane2,blanks,blanks,blanks,d1obj4,d1obj5,change,0,6,AANTFRYI2,blank,,
v01NO1,main,.jpg,96,7,22825932.thl,8250565.thl,AFETTUCI2,ASTREESW2,Adayplanner,Atoyball,change,d1obj2,d1obj3,blanks,blanks,blanks,0,1,ALAMP,blank,,
v01NO1,main,.jpg,96,8,22826448.thl,8252024.thl,AFILM,ASUITCA17,Adecorati133,Atoyboat10,d1obj1,change,d1obj3,blanks,blanks,blanks,0,2,Acork6,blank,,
v01NO1,main,.jpg,96,9,22826748.thl,8255030.thl,AFIREPUTE,ASUNBOX5,Adecorativem2,Atoydonkey,d1obj1,d1obj2,change,blanks,blanks,blanks,0,3,ABROKUMBR,blank,,
v01NO1,main,.jpg,96,10,22848828.thl,8256618.thl,AFISH20,ASUSHI8,Adiamondring3,Atoyfurnitu14,blanks,blanks,blanks,change,d1obj5,d1obj6,0,4,AAIRBALL2,blank,,
v01NO1,main,.jpg,96,11,22853544.thl,8257273.thl,AFISHNET3,ASUSHI9,Adigitalcamer,Atoyhomeoffi4,blanks,blanks,blanks,d1obj4,change,d1obj6,0,5,Aspoolofthre6,blank,,
v01NO1,main,.jpg,96,12,22854108.thl,8257947.thl,AFLAMEXTI,ASWITCH6,Adill,Atoyhorse2,blanks,blanks,blanks,d1obj4,d1obj5,change,0,6,Atombstone17,blank,,
v01NO1,main,.jpg,96,13,22855236.thl,8258279.thl,AFLAMMABL,ATALSTAN3,Adinningroomt,Atoyservices2,change,d1obj2,d1obj3,blanks,blanks,blanks,0,1,26432217.thl,blank,,
v01NO1,main,.jpg,96,14,22856988.thl,9815480.thl,AFLOURSCO,ATEALANT8,Adiscoball2,Atoyslide,d1obj1,change,d1obj3,blanks,blanks,blanks,0,2,APUMPKI35,blank,,
v01NO1,main,.jpg,96,15,22857084.thl,A1991CHE7,AFOODBLEN,ATEETH7,Adolphin3,Atoyworm,d1obj1,d1obj2,change,blanks,blanks,blanks,0,3,garlic,blank,,
v01NO1,main,.jpg,96,16,22857516.thl,A3bday5,AFOODTAB2,ATELESCO2,Adrinkinggl21,Atray22,blanks,blanks,blanks,change,d1obj5,d1obj6,0,4,AORGAN,blank,,
v01NO1,main,.jpg,96,17,22859028.thl,A3leafcl4,AFOOTST11,ATICKETBO,Adropper2,Atray26,blanks,blanks,blanks,d1obj4,change,d1obj6,0,5,AGRAINSI5,blank,,
v01NO1,main,.jpg,96,18,22861656.thl,A4DOMINO,AFOUNTAI5,ATIE16,Adryflo15,Atrowel42,blanks,blanks,blanks,d1obj4,d1obj5,change,0,6,AREDBOX15,blank,,
v01NO1,main,.jpg,96,19,22876872.thl,A56THUND4,AFRAME15,ATINSTRAP,Adustpanbrus4,Atrumpetwith2,change,d1obj2,d1obj3,blanks,blanks,blanks,0,1,26375641.thl,blank,,
v01NO1,main,.jpg,96,20,22886412.thl,A70ssunglass3,AFRENCHF2,ATOASTE22,Adustpanbrush,Aturban,d1obj1,change,d1obj3,blanks,blanks,blanks,0,2,AFILEFOL4,blank,,
v01NO1,main,.jpg,96,21,22887144.thl,A95CHEROK,AFRUIT3,ATOASTOV2,Aeasteregg14,Aturtle35,d1obj1,d1obj2,change,blanks,blanks,blanks,0,3,26437080.thl,blank,,
v01NO1,main,.jpg,96,22,22896812.thl,AACORN2,AFRYPAN7,ATOILROL2,Aeggcup224,Avacuum20,blanks,blanks,blanks,change,d1obj5,d1obj6,0,4,8079080.thl,blank,,
v01NO1,main,.jpg,96,23,22903148.thl,AAEROBENC,AFUNNEL4,ATOLLNEGS,Aegyptianst20,Avicegriptool,blanks,blanks,blanks,d1obj4,change,d1obj6,0,5,AARMCHA25,blank,,
v01NO1,main,.jpg,96,24,22907432.thl,AAFRICI10,AGAME,ATOMATOSA,Aeiffeltower2,Avideocamera2,blanks,blanks,blanks,d1obj4,d1obj5,change,0,6,8254014.thl,blank,,
v01NO1,main,.jpg,96,25,22908308.thl,AAFRICI13,AGARBCAN,ATOOHOLDE,Aelectricgri3,Awaxlips,change,d1obj2,d1obj3,blanks,blanks,blanks,0,1,ABUSTFOR7,blank,,
v01NO1,main,.jpg,96,26,22910936.thl,AAFRICIN2,AGARBIN,ATOQUE4,Aelectronicg9,Awheelchair6,d1obj1,change,d1obj3,blanks,blanks,blanks,0,2,26377133.thl,blank,,
v01NO1,main,.jpg,96,27,22911500.thl,AAIRGAUGE,AGARDHOSE,ATOWELRA3,Aembossedsta2,Awickerchair8,d1obj1,d1obj2,change,blanks,blanks,blanks,0,3,APANTRAC2,blank,,
v01NO1,main,.jpg,96,28,22919000.thl,AAIRPUMP2,AGERMANH4,ATOWER3,Aenvelope2,Awindmill4,blanks,blanks,blanks,change,d1obj5,d1obj6,0,4,pinecone02,blank,,
v01NO1,main,.jpg,96,29,22923440.thl,AALARMSY5,AGIFTBOX8,ATOWRACK3,Aextensionco8,Awindow19,blanks,blanks,blanks,d1obj4,change,d1obj6,0,5,for28524,blank,,
v01NO1,main,.jpg,96,30,22923524.thl,AALARMSY6,AGLASSBA4,ATOYTREE,Afan49,Awindtoy5,blanks,blanks,blanks,d1obj4,d1obj5,change,0,6,AAGATE,blank,,
v01NO1,main,.jpg,96,31,22925228.thl,AALMOND1,AGLASSBAL,ATRACINGT,Afeatherdust2,Awomansshoe3,change,d1obj2,d1obj3,blanks,blanks,blanks,0,1,8074514.thl,blank,,
v01NO1,main,.jpg,96,32,22925624.thl,AALTAR,AGLASSCAS,ATRACTBU5,Afeatherhat,Awomensshoe61,d1obj1,change,d1obj3,blanks,blanks,blanks,0,2,ANAPRINGS,blank,,
v01NO1,main,.jpg,96,33,22991767.thl,AALTIRE2,AGLASSCON,ATRACTWH6,Aflashlight3,Awoodenbarrel,d1obj1,d1obj2,change,blanks,blanks,blanks,0,3,Afaucet9,blank,,
v01NO1,main,.jpg,96,34,23007415.thl,AAMMO4,AGLASSFL4,ATRAFFIC3,Aflask19,Awoodenegg,blanks,blanks,blanks,change,d1obj5,d1obj6,0,4,AINCENSE4,blank,,
v01NO1,main,.jpg,96,35,23016235.thl,AANBABYCA,AGLOBE6,ATREEHOUS,Aflatwoodenba,Awoodenhamme8,blanks,blanks,blanks,d1obj4,change,d1obj6,0,5,battery,blank,,
v01NO1,main,.jpg,96,36,23019499.thl,AANGLE,AGOLDCUP6,ATRIUMPH3,Aflower103,Axmastre5,blanks,blanks,blanks,d1obj4,d1obj5,change,0,6,AMAILBOX9,blank,,
v01NO1,main,.jpg,96,37,23024623.thl,AANGLEME2,AGOLFIRON,ATROPHY21,Aflower104,Azucchini9,change,d1obj2,d1obj3,blanks,blanks,blanks,0,1,ANAPKIN4,blank,,
v01NO1,main,.jpg,96,38,23029830.thl,AANKEY7,AGONG12,ATROWEL2,Aflower136,B_brush,d1obj1,change,d1obj3,blanks,blanks,blanks,0,2,wok,blank,,
v01NO1,main,.jpg,96,39,23041782.thl,AANSHIEL4,AGOUDA,ATRUNK15,Aflowerpot15,B_makeupbag,d1obj1,d1obj2,change,blanks,blanks,blanks,0,3,ARECORDC2,blank,,
v01NO1,main,.jpg,96,40,23048010.thl,AANTCABL2,AGRENADIN,ATUNFORK2,Aflowerpot9,B_orange,blanks,blanks,blanks,change,d1obj5,d1obj6,0,4,26439074.thl,blank,,
v01NO1,main,.jpg,96,41,23057742.thl,AANTCASH3,AGRILL1,ATURKEY11,Aflowerwreat2,Brusselssprouts,blanks,blanks,blanks,d1obj4,change,d1obj6,0,5,26384871.thl,blank,,
