SSver,display,maxn,trial,d1obj1,d1obj2,d1obj3,d1obj4,d1obj5,d1obj6,d2obj1,d2obj2,d2obj3,d2obj4,d2obj5,d2obj6,d3obj1,d3obj2,d3obj3,d3obj4,d3obj5,d3obj6,cond,tarLoc,tarDis,change,proc1,proc2
v04SCR2,mainIntro,,,,,,,,,,,,,,,,,,,,,,,,,a0SCRRE.jpg,a0SCRNE.jpg
v04SCR2,main,96,1,8079958.thl_scram.jpg,gDot.jpg,ASOPRASAX_scram.jpg,gDot.jpg,Atoy21_scram.jpg,gDot.jpg,8080484.thl_scram.jpg,gDot.jpg,ASPACEHE8_scram.jpg,gDot.jpg,Atoy33_scram.jpg,gDot.jpg,change,d2obj2,d2obj3,d2obj4,d2obj5,d2obj6,0,1,2,ACHAIRDE2_scram.jpg,,
v04SCR2,main,96,2,gDot.jpg,8081398.thl_scram.jpg,gDot.jpg,ASPARKER2_scram.jpg,gDot.jpg,Atoy63_scram.jpg,gDot.jpg,8245818.thl_scram.jpg,gDot.jpg,ASPOONS2_scram.jpg,gDot.jpg,Atoyairplane2_scram.jpg,d2obj1,change,d2obj3,d2obj4,d2obj5,d2obj6,0,2,2,twofingersN_scram.jpg,,
v04SCR2,main,96,3,8248852.thl_scram.jpg,gDot.jpg,ASPOTLIG2_scram.jpg,gDot.jpg,Atoyball_scram.jpg,gDot.jpg,8252024.thl_scram.jpg,gDot.jpg,ASTAPLER_scram.jpg,gDot.jpg,Atoybucketan4_scram.jpg,gDot.jpg,d2obj1,d2obj2,change,d2obj4,d2obj5,d2obj6,0,3,2,Abedpan7_scram.jpg,,
v04SCR2,main,96,4,gDot.jpg,8254014.thl_scram.jpg,gDot.jpg,ASTAR_scram.jpg,gDot.jpg,Atoydonkey_scram.jpg,gDot.jpg,8255030.thl_scram.jpg,gDot.jpg,ASTEPPER_scram.jpg,gDot.jpg,Atoydrill4_scram.jpg,d2obj1,d2obj2,d2obj3,change,d2obj5,d2obj6,0,4,2,Afeatherhat_scram.jpg,,
v04SCR2,main,96,5,8256618.thl_scram.jpg,gDot.jpg,ASTONHOU2_scram.jpg,gDot.jpg,Atoyfurnitu14_scram.jpg,gDot.jpg,8257273.thl_scram.jpg,gDot.jpg,ASTOOL_scram.jpg,gDot.jpg,Atoyhomeoffi4_scram.jpg,gDot.jpg,d2obj1,d2obj2,d2obj3,d2obj4,change,d2obj6,0,5,2,ABATHTUB3_scram.jpg,,
v04SCR2,main,96,6,gDot.jpg,8257947.thl_scram.jpg,gDot.jpg,ASTRAINE8_scram.jpg,gDot.jpg,Atoyhorse2_scram.jpg,gDot.jpg,8258007.thl_scram.jpg,gDot.jpg,ASTREESW2_scram.jpg,gDot.jpg,Atoyservices2_scram.jpg,d2obj1,d2obj2,d2obj3,d2obj4,d2obj5,change,0,6,2,AMIXER1_scram.jpg,,
v04SCR2,main,96,7,8258279.thl_scram.jpg,gDot.jpg,ASUITCA17_scram.jpg,gDot.jpg,Atoyslide_scram.jpg,gDot.jpg,9815480.thl_scram.jpg,gDot.jpg,ASUNBOX5_scram.jpg,gDot.jpg,Atoyworm_scram.jpg,gDot.jpg,change,d2obj2,d2obj3,d2obj4,d2obj5,d2obj6,0,1,2,26370318.thl_scram.jpg,,
v04SCR2,main,96,8,gDot.jpg,A1991CHE7_scram.jpg,gDot.jpg,ASUSHI8_scram.jpg,gDot.jpg,Atray26_scram.jpg,gDot.jpg,A3bday5_scram.jpg,gDot.jpg,ASUSHI9_scram.jpg,gDot.jpg,Atripod5_scram.jpg,d2obj1,change,d2obj3,d2obj4,d2obj5,d2obj6,0,2,2,Acarjack2_scram.jpg,,
v04SCR2,main,96,9,A3leafcl4_scram.jpg,gDot.jpg,ASWITCH6_scram.jpg,gDot.jpg,Atrowel42_scram.jpg,gDot.jpg,A4DOMINO_scram.jpg,gDot.jpg,ATALSTAN3_scram.jpg,gDot.jpg,Atrumpetwith2_scram.jpg,gDot.jpg,d2obj1,d2obj2,change,d2obj4,d2obj5,d2obj6,0,3,2,Abisontoy_scram.jpg,,
